company_id,year,printed_name,name_key
C00001,1932,A lexandria Insurance,alexandria insurance co
C00002,1932,Affaires Judiciaires Mixtes,affaires judiciaires mixtes
C00003,1932,Agricultural Bank of Egypt,agricultural bank egypt
C00004,1932,Al Chark (L'Orient) Société Anonyme Egyptienne d'Assurances sur la Vie,al chark orient cl assurances sur vie
C00004,1932,"Al Chark 1(L'Orient), Société Anonyme Egyptienne d'Assurances sur la Vie",al chark orient cl assurances sur vie
C00004,1932,Al Chark(L'Orient) Société Anonyme Egyptienne d'Assurances sur la Vie,al chark orient cl assurances sur vie
C00001,1932,Alex andr-ia Insurance,alexandria insurance co
C00005,1932,Alexandria & Ramleh RaihYay Cy Ltd,alexa11 dria ramleh raih ay co
C00005,1932,Alexandria & Ramleh Rail ways Co,alexa11 dria ramleh raih ay co
C00005,1932,Alexandria & Ramleh Railways Cy. Ltd,alexa11 dria ramleh raih ay co
C00006,1932,Alexandria Commercial Co,alexandria commercial co
C00006,1932,Alexandria Commercial Cy,alexandria commercial co
C00001,1932,Alexandria Insurance Co,alexandria insurance co
C00001,1932,Alexandria Insurance Co. (S.A.E.),alexandria insurance co
C00001,1932,Alexandria Insurance Cy,alexandria insurance co
C00007,1932,"Alexandria Navigation Cy., S. A. E",alexandria navigation co
C00008,1932,Alexandria Pressing,alexandria pressing co
C00009,1932,Alexandria Water,alexandria water company
C00009,1932,Alexandria Water Company,alexandria water company
C00009,1932,Alexandria Water Cy,alexandria water company
C00005,1932,Alexandria& Ramleh Railways Co. Ltd,alexa11 dria ramleh raih ay co
C00005,1932,Alexandrie & Ramleh Rail ways Cy. Ltd,alexa11 dria ramleh raih ay co
C00010,1932,Alexandrin Exchange Co,alexandria exchange co
C00011,1932,Alliance Française,alliance francaise
C00012,1932,Anglo Belgian Co of Egypt et,anglo belgian co egypt
C00013,1932,Anglo-American Nile & Tourist Cy,hon anglo american nile tourist co
C00013,1932,Anglo-American Nile et Tou rist Co,hon anglo american nile tourist co
C00012,1932,Anglo-Belgian Co of Egypt Ltd,anglo belgian co egypt
C00012,1932,Anglo-Belgian Co. of Egypt,anglo belgian co egypt
C00014,1932,Anglo-Egyptian Land Allotment,anglo egyptian land allotment co
C00015,1932,"Associated Cotton Gin ners of Egypt, Ltd",associated cotton ginners
C00016,1932,Banco Ilalo-Egiziano,banco italo egiziano
C00017,1932,Banco Ilalo-Egiziano ct de The Electric Light & Power Supply,banco ilalo egiziano ct electric light power supply
C00016,1932,Banco Italo-Egiziano,banco italo egiziano
C00018,1932,Banque Belge et In ternationale en Egypte,banque belge internationale egypte
C00018,1932,Banque Belge et Internationale en Egypte,banque belge internationale egypte
C00019,1932,Banque Hypothécaire,banque hypothecaire
C00020,1932,Banque Misr,banque misr
C00021,1932,"Banque Misr ct de toutes les institutions financières, commerciales et Industrielles, fondées par la Banque Misr, en Egypte et à l'Etranger",banque misr ct toutes institutions financieres commerciales industrielles fondees par banque misr egypte etranger
C00022,1932,Banque d'Athènes à Alexandrie,banque athenes alexandrie
C00023,1932,Banque de Crédit Agricole,banque credit agricole egypte
C00024,1932,Banque de Crédit Agricole d'Egyple,banque credit agricole egyple
C00023,1932,Banque de Crédit Agricole d'Egypte,banque credit agricole egypte
C00025,1932,BanqueMosseri et Co,banque mosseri s e
C00026,1932,Bourse Commerciale de Minet El Bassal,bourse commerciale minet el bassal
C00027,1932,Bourse de Minet El Bass al,lu bomse minet el bassal
C00027,1932,Bourse de Minet El Bassa!,lu bomse minet el bassal
C00027,1932,Bourse de Minet El Bassal,lu bomse minet el bassal
C00028,1932,Bourse des Marchandises,bourse marchandises
C00029,1932,Building Lands,building lands egypt
C00030,1932,Cairo Sand Bricks,cairo sand bricks
C00030,1932,Cairo Sand Bricks Co,cairo sand bricks
C00031,1932,Cairo Suburban Buildings Lands Co,cairo suburban building land co
C00032,1932,Cairo-Heliopolis,cairo heliopolis
C00033,1932,Car ver Br os & Co Ltd,car ver br os co
C00034,1932,Cassa di Sconto et di Risparmio,cass t di sconto e di risparmio
C00034,1932,Cassa di Scontoe di Risparmio,cass t di sconto e di risparmio
C00034,1932,Cass·t di Sconto e di. Risparmio,cass t di sconto e di risparmio
C00035,1932,Chemins de Fer Keneh-Assouan,chemin fer ken eh assouan
C00036,1932,Chemins de Fer de la S. A. de W a di Kom Ombo,chemins fer s w di kom ombo
C00037,1932,Cie d'Assurances << Al Chark )),assurances al charkl w
C00038,1932,Clothing & Equipment Company S. A,clothing equipment co
C00039,1932,Comite de Londres de The Mortgage Co. Ltd,comite londres mortgage co
C00040,1932,Commer ce Egyptienne,commer ce egyptienne
C00041,1932,Commerce,commerce
C00042,1932,Commerce Hellénique d'Alexandrie,commerce hellenique alexandrie
C00043,1932,Commercial Bank of Egypt,commercial bank egypt
C00044,1932,Commerciale Suisse d'Alexandrie,commerciale suisse alexandrie
C00045,1932,"Commerciale Suisse, Siège du Caire",commerciale suisse siege caire
C00042,1932,Communauté Hellénique d'Alexandrie,commerce hellenique alexandrie
C00046,1932,Communauté Israélite d'Alexandrie,communaute israelite alexandrie
C00047,1932,Compagnie Frigorifique d'Egypte,frigorifique egypte
C00037,1932,Compagnie d'Assurances «Al Charkl). w,assurances al charkl w
C00048,1932,Compagnie des Eaux du Caire,eaux caire
C00049,1932,Constructions Modernes,constructions modernes s e
C00050,1932,Consultatif de l'Agriculture,consultatif agriculture
C00051,1932,Consultatif des Réassurances et Assurances directes au Ministère du Travail,consultatif reassurances assurances directes ministere travail
C00052,1932,Cro\Yn Brewery,crown brewery
C00052,1932,Crown Brewery,crown brewery
C00053,1932,Crown Egypt Co,crown egypt co
C00054,1932,Crownegypt Cu,crownegypt co s e
C00055,1932,Crédit Agricole d'Egypte,credit agricole egypte
C00056,1932,Crédit Foncier Egyptien,credit foncier egyptien
C00057,1932,Crédit Foncier Egyptien. Ismalum René. Chevalier de la Légion d'Honneur,credit foncier egyptien ismalum rene chevalier legion honneur
C00058,1932,Crédit Immobilier Suisse-Egyptien. v,credit immobilier suisse egyptien
C00059,1932,Dakahlieh Land Cy,dakahlieh land co
C00060,1932,Delta Trading Co,delta trading co s e
C00061,1932,Députés,deputes
C00062,1932,Easlern Export Cy. S. A,eastern export cy
C00062,1932,Eastern Export Cy,eastern export cy
C00062,1932,"Eastern Export Cy., S. A",eastern export cy
C00048,1932,Eaux du Caire,eaux caire
C00063,1932,Ecole Française de Droit du Caire,ecole francaise droit caire
C00064,1932,Egyptian Consolidated Land Ltd,egyptian consolidated land
C00065,1932,Egyptian Delta Land & Investment,egyptian delta land investment cy
C00065,1932,Egyptian Delta Land & Investment Cy,egyptian delta land investment cy
C00066,1932,Egyptian Joint Cotton Committee,egyptian joint cotton committee
C00067,1932,Egyptian Markets,egyptian markets
C00068,1932,Egyptian Motor Transport Co,egyptian 1 oeotor transport co
C00069,1932,Egyptian Salt & Soda,egyptian salt soda
C00070,1932,Electricity & lee Supply Co,electricity lee supply co
C00071,1932,Entrepôts,entrepots
C00072,1932,Filature Nationale d'Egypte,filature nationale egypte
