person_id,label,name_key,highest_rank,n_mentions,years_present,n_waves,name_variants
P00001,Abdel Hadi Mohamed,abdel hadi moamed,bey,2,1932,1,Abdel Hadi Mohamed
P00002,Badaoui,abdel hamid badaui,pasha,5,1932;1938;1950,3,Abdel Hamid Badaoui | Badaoui
P00003,Abaza,abdel hamid bei abaza,,10,1932;1947,2,Abaza | Abdel Hamid Bey Abaza
P00004,Abdy Richard,abdi rishard,,4,1932,1,Abdy Richard
P00005,Adda Abram,ada abram,bey,2,1932,1,Adda Abram
P00006,Adda César V,ada sesar,,2,1932,1,Adda César V
P00007,Adda Fernand C.A,ada fernand,,5,1932;1947;1950,3,Adda Fernand C | Adda Fernand C.A
P00008,Adda Joseph A,ada gosef,,26,1932;1938;1942;1947;1950,5,Adda A. Joseph | Adda Joseph 1\ | Adda Joseph A
P00009,Adly Yeghen,adli ieghen,pasha,2,1932,1,Adly Yeghen
P00010,Aghion Max César,aghion sesar,,8,1932;1942;1947;1950,4,Aghion César | Aghion Max César
P00011,Aghion Gustave,aghion gustav,,11,1932;1942;1947;1950,4,Aghion Gustave | Aghion Gustav·e
P00012,Aghion Is. Jacques,aghion is gakues,,2,1932,1,Aghion Is. Jacques
P00013,Aghion Maurice,aghion mauris,,2,1932,1,Aghion Maurice
P00014,Ahmed Midhat Yeghen,ahmed midhat ieghen,pasha,2,1932,1,Ahmed Midhat Yeghen
P00015,Abboud,ahmed pasha abud,,10,1932;1950,2,Abboud | Ahmed Pacha Abboud
P00016,Egypt,dredging ko egipt,,18,1932;1942;1947;1950,4,Carrier-Egypt | Dredging Co Egypt | Egypt | Egypte
P00017,Ahmed Pacha Abdel Wahab,ahmed pasha abdel uab,,1,1932,1,Ahmed Pacha Abdel Wahab
P00018,Alby Albert,albi albert,,1,1932,1,Alby Albert
P00019,Allam Mohamed,alam moamed,pasha,8,1932;1938;1942;1947;1950,5,Allam Mohamed
P00020,Aly Bey Emine Yehia,ali bei emin ieia,,1,1932,1,Aly Bey Emine Yehia
P00021,Alexandria Pressing Cy,alexandria presing si,,2,1932,1,Alexandria Pressing Cy
P00022,Arcache Antoine,arkash antoin,bey,1,1932,1,Arcache Antoine
P00023,Arcoudaris P,arkudaris,,2,1932,1,Arcoudaris P
P00024,Bacos Lebnan,bakos lebnan,,1,1932,1,Bacos Lebnan
P00025,Baehler Charles Commandeur Medjidié,baehler sharles komandeur medgidi,,9,1932,1,Baehler Charles Commandeur Medjidié
P00026,Banoun Alfred,banun alfred,,3,1932;1947;1950,3,Banoun Alfred
P00027,Barker Henry Kniglll Bachelor,barker henri knigl bashelor,,7,1932,1,Barker Henry Kniglll Bachelor
P00028,Biagi Dr. Enrico,biagi dr enriko,,2,1932,1,Biagi Dr. Enrico
P00029,Blattner C. D. Henry,blatner henri,,3,1932;1947;1950,3,Blattner C. D. Henry | Blattner Henry C. D | Blattner Henry C. O
P00030,Boulad Khalil,bulad khalil,,4,1932;1947;1950,3,Boulad Khalil
P00031,Bourre Edouard,bur eduard,,3,1932,1,Bourre Edouard
